File,img_roi_selector.png
Run Date,Fri May 31 14:51:20 2024
Path,C:\Users\yu.chen\Desktop\Python_SFR-master\Python_SFR-master\images

Slice Orientation,Horizontal
Image WxH pixels,800,628
ROI WxH pixels,182,65
ROI boundary L T R B,186,301,368,366
Gamma,0.5
Oversmapling,4
Channel,L,R,G,B
Edge Angle,-0.7246,-0.4847,-0.7995,-0.808
MTF50 Cy/pxl (uncorr),0,0,0,0
MTF50 LW/PH (uncorr),0,0,0,0
MTF50 Cy/pxl (corr),0,0,0,0
MTF50 LW/PH (corr),0,0,0,0
MTF50P Cy/pxl,0.0328,0.0338,0.0321,0.0319
MTF50P LW/PH,52,54,51,51
Oversharpening %,0.0,0.0,0.0,0.0
Sharpening Radius,3,3,3,3

Cy/Pxl,LW/PH,MTF(L),MTF(L corr),MTF(R),MTF(R corr),MTF(G),MTF(G corr),MTF(B),MTF(B corr)
0.0,0.0,1.0,nan,1.0,nan,1.0,nan,1.0,nan
0.0159,25.4,7.9516,nan,7.6301,nan,7.9905,nan,7.1604,nan
0.0317,50.79,10.2923,nan,10.7552,nan,10.2833,nan,9.2304,nan
0.0476,76.19,4.7833,nan,4.572,nan,5.031,nan,4.5833,nan
0.0635,101.59,3.8,nan,3.1817,nan,3.5463,nan,3.4152,nan
0.0794,126.98,3.3477,nan,4.9367,nan,3.3759,nan,3.247,nan
0.0952,152.38,4.4108,nan,1.8292,nan,5.6073,nan,4.9387,nan
0.1111,177.78,10.2301,nan,6.9703,nan,10.7768,nan,10.2098,nan
0.127,203.17,9.0684,nan,6.6073,nan,9.6085,nan,9.1761,nan
0.1429,228.57,13.1503,nan,10.8236,nan,12.5278,nan,11.94,nan
0.1587,253.97,12.8541,nan,8.5776,nan,11.9213,nan,10.9675,nan
0.1746,279.37,19.1104,nan,12.7351,nan,17.6754,nan,15.957,nan
0.1905,304.76,17.1725,nan,10.0595,nan,16.7982,nan,14.8507,nan
0.2063,330.16,21.5168,nan,16.1258,nan,22.0061,nan,19.4991,nan
0.2222,355.56,17.2407,nan,16.7799,nan,17.8489,nan,16.3645,nan
0.2381,380.95,18.1213,nan,21.8706,nan,18.8709,nan,17.5845,nan
0.254,406.35,15.8716,nan,24.4995,nan,16.4154,nan,15.5175,nan
0.2698,431.75,17.2657,nan,25.8861,nan,19.7766,nan,18.01,nan
0.2857,457.14,20.6558,nan,31.5952,nan,21.7732,nan,20.8907,nan
0.3016,482.54,24.1032,nan,30.4445,nan,25.3267,nan,24.7184,nan
0.3175,507.94,29.4263,nan,35.1215,nan,28.4132,nan,28.1459,nan
0.3333,533.33,32.0259,nan,30.6537,nan,33.1373,nan,31.2871,nan
0.3492,558.73,36.116,nan,32.3684,nan,35.6988,nan,33.9353,nan
0.3651,584.13,35.2197,nan,25.969,nan,35.6476,nan,33.3983,nan
0.381,609.52,37.7808,nan,25.8789,nan,35.0995,nan,33.3301,nan
0.3968,634.92,34.0373,nan,21.7836,nan,31.9718,nan,30.2644,nan
0.4127,660.32,33.6311,nan,23.7087,nan,29.9846,nan,28.0983,nan
0.4286,685.71,25.0222,nan,22.8612,nan,24.3411,nan,21.5069,nan
0.4444,711.11,23.4428,nan,23.3326,nan,21.9837,nan,19.0036,nan
0.4603,736.51,15.8272,nan,22.9522,nan,15.3697,nan,13.5778,nan
0.4762,761.9,17.3295,nan,19.9967,nan,14.7971,nan,14.0954,nan
0.4921,787.3,11.9379,nan,20.1433,nan,9.1559,nan,9.2129,nan
0.5079,812.7,13.47,nan,14.7578,nan,11.4307,nan,11.1904,nan
0.5238,838.1,14.4299,nan,18.5628,nan,9.4833,nan,9.493,nan
0.5397,863.49,17.2932,nan,18.0618,nan,17.1276,nan,14.7946,nan
0.5556,888.89,26.9373,nan,23.2014,nan,23.8876,nan,20.9245,nan
0.5714,914.29,30.3909,nan,29.927,nan,28.4254,nan,25.2092,nan
0.5873,939.68,38.8329,nan,32.0409,nan,35.1404,nan,32.8343,nan
0.6032,965.08,38.5923,nan,39.6285,nan,34.8657,nan,32.3303,nan
0.619,990.48,42.0517,nan,36.3847,nan,42.044,nan,37.8844,nan
0.6349,1015.87,45.828,nan,38.9847,nan,43.0301,nan,39.3192,nan
0.6508,1041.27,46.4962,nan,44.7384,nan,47.0295,nan,43.4585,nan
0.6667,1066.67,52.9406,nan,51.7219,nan,52.9179,nan,50.8224,nan
0.6825,1092.06,50.0251,nan,69.8785,nan,50.7939,nan,47.5571,nan
0.6984,1117.46,51.6289,nan,77.7003,nan,52.3233,nan,46.5879,nan
0.7143,1142.86,54.512,nan,83.9754,nan,47.2262,nan,43.2489,nan
0.7302,1168.25,52.4156,nan,86.0466,nan,44.9991,nan,43.953,nan
0.746,1193.65,61.7812,nan,79.9646,nan,56.814,nan,55.1321,nan
0.7619,1219.05,74.2477,nan,81.3323,nan,69.4967,nan,62.2698,nan
0.7778,1244.44,83.615,nan,77.3619,nan,80.0256,nan,71.7324,nan
0.7937,1269.84,89.7239,nan,70.2592,nan,87.0231,nan,79.9661,nan
0.8095,1295.24,84.5843,nan,61.2217,nan,87.975,nan,76.6987,nan
0.8254,1320.63,86.2599,nan,46.7542,nan,88.9245,nan,77.925,nan
0.8413,1346.03,89.8694,nan,35.7232,nan,91.8274,nan,82.2957,nan
0.8571,1371.43,83.7226,nan,13.021,nan,86.8344,nan,74.331,nan
0.873,1396.83,82.958,nan,3.6685,nan,75.5367,nan,70.0902,nan
0.8889,1422.22,70.8949,nan,7.4222,nan,68.7643,nan,62.5233,nan
0.9048,1447.62,49.3433,nan,26.0147,nan,57.9225,nan,52.5257,nan
0.9206,1473.02,38.3872,nan,67.227,nan,46.2762,nan,50.0667,nan
0.9365,1498.41,12.066,nan,68.1459,nan,19.3137,nan,22.5366,nan
0.9524,1523.81,20.0118,nan,45.3057,nan,36.583,nan,33.8712,nan
0.9683,1549.21,39.4006,nan,37.3577,nan,27.7131,nan,20.4122,nan
0.9841,1574.6,40.8765,nan,68.1762,nan,23.7887,nan,24.3541,nan
1.0,1600.0,22.4386,nan,20.7401,nan,11.1532,nan,5.4088,nan

x (pixels),L Edge,R Edge,G Edge,B Edge
-32.0,0.0,0.0,0.0,0.0
-31.75,0.0,0.0,0.0,0.0
-31.5,0.0,0.0,0.0,0.0
-31.25,0.0,0.0,0.0,0.0
-31.0,0.0,0.0,0.0,0.0
-30.75,0.0,0.0,0.0,0.0
-30.5,0.0,0.0,0.0,0.0
-30.25,0.0,0.0,0.0,0.0
-30.0,0.0,0.0,0.0,0.0
-29.75,0.0,0.0,0.0,0.0
-29.5,0.0,0.0,0.0,0.0
-29.25,0.0,0.0,0.0,0.0
-29.0,0.0,0.0,26700.42,24680.85
-28.75,26993.39,0.0,27874.33,25009.18
-28.5,27589.35,0.0,1568.92,732.04
-28.25,979.34,0.0,739.78,617.24
-28.0,673.28,27339.19,-1522.31,-1048.61
-27.75,-1547.83,27995.17,-1393.76,-2583.21
-27.5,-2078.0,943.26,530.76,1517.09
-27.25,1804.86,-2423.26,1447.68,2748.21
-27.0,2174.12,-805.27,-554.16,-1646.52
-26.75,-1637.04,2627.84,-1041.53,-1953.33
-26.5,-2210.72,732.92,811.29,1427.72
-26.25,1636.33,-3149.26,1034.24,1902.47
-26.0,2085.21,-1404.85,-1982.54,-2298.37
-25.75,-2431.73,3157.6,-1444.07,-3196.38
-25.5,-3490.88,1338.93,1054.44,2318.13
-25.25,2419.05,-5493.95,1523.65,3265.17
-25.0,3585.88,-2096.14,-1852.98,-3237.02
-24.75,-3300.06,5530.77,-848.7,-1498.36
-24.5,-1589.89,2155.29,2868.0,3176.95
-24.25,3262.4,-2199.68,848.7,1422.3
-24.0,1577.99,-2980.26,-2932.7,-4259.6
-23.75,-4249.89,2203.84,-1449.37,-143.48
-23.5,-215.03,3000.05,3944.86,4269.86
-23.25,4224.92,199.76,1362.99,68.06
-23.0,161.69,-3992.32,-3787.22,-5216.28
-22.75,-5173.57,-236.53,-2427.28,78.16
-22.5,-114.59,3992.54,3781.93,5294.8
-22.25,5142.32,269.22,2400.69,-78.19
-22.0,144.23,-4867.59,-2686.62,-5545.5
-21.75,-5495.3,-220.3,-3694.78,-43.85
-21.5,-277.13,4920.2,2681.59,5540.27
-21.25,5482.66,12.28,3668.19,37.56
-21.0,253.2,-5334.25,-1387.8,-4792.56
-20.75,-5077.36,24.52,-4823.96,-1098.89
-20.5,-903.25,5373.8,1383.13,4807.4
-20.25,5108.58,24.21,4857.2,1098.86
-20.0,933.04,-5590.59,-95.48,-3636.48
-19.75,-3971.74,-11.68,-6241.39,-2734.06
-19.5,-2627.71,5590.81,96.12,3607.09
-19.25,3946.82,3.7,6228.12,2746.78
-19.0,2645.67,-5994.18,51.8,-2328.75
